IDa	IDb
P00813	A5A3E0
Q8N7W2	P26373
Q8N7W2	Q09028
Q8N7W2	Q9Y3U8
Q8N7W2	P36578
Q8N7W2	P23396
Q8N7W2	Q07021
Q8N7W2	O75096
Q8N7W2	P52294
Q6ZMN8	P11142
Q6ZMN8	Q659C4
Q6ZMN8	Q00535
P20138	Q8N1S5
P20138	P40855
P20138	P62158
P20138	Q9UBI1
P55039	P11142
P55039	Q9H446
P55039	O15264
Q17R55	Q86Y07
Q17R55	F5H856
Q17R55	P11021
Q17R55	Q8TCT7
Q17R55	P12236
Q17R55	P62829
Q17R55	Q71U36
Q17R55	Q9BQE3
Q17R55	P35610
Q17R55	Q8NHP6
Q9UJM8	Q13303
Q9NZL4	P11142
Q9NZL4	A5A3E0
Q9NZL4	Q3B7T1
Q9NZL4	P49902
Q9NZL4	Q15723
Q6ICG6	P27348
Q6ICG6	P31946
Q6ICG6	P31947
Q6ICG6	P61981
Q6ICG6	P62258
Q6ICG6	P63104
Q6ICG6	Q04917
Q6ICG6	Q96SZ6
Q6ICG6	Q9NVR0
Q6ICG6	O95352
Q6ICG6	Q14191
Q6ICG6	Q8IXJ6
Q8N163	P11142
Q8N163	Q13303
Q8N163	Q9UJM8
Q8N163	Q5SW79
Q8N163	Q13509
Q8N163	Q3ZCM7
Q8N163	P23508
Q92604	A5A3E0
Q92604	Q562R1
Q86X40	P10809
Q86X40	Q58FF6
Q86X40	P11142
Q86X40	P34931
Q86X40	Q93034
Q86X40	Q9Y2Z0
Q86X40	Q9C0C7
P43363	Q92830
P43363	Q92831
P43363	Q15596
P43363	Q9H8E8
P43363	Q9ULM3
P43363	P43362
P43363	A5A3E0
P43363	P60709
P43363	Q13948
P43363	Q9BQI6
P43363	Q9UPP1
P43363	Q9UPW6
P43363	P48552
P43363	Q8IYH5
P43363	P62701
P43363	Q2KHR3
P43363	Q8IV48
P43363	A5D8V6
P43363	Q9P0K8
P43363	O00541
P43363	O75528
P43363	Q8WUB2
P43363	Q16512
P43363	P14859
P43363	Q9BWC9
P43363	Q8TD31
P43363	Q6UUV7
P43363	Q15906
O15264	A5A3E0
O15143	O15144
O15143	Q9BPX5
O15143	O15511
O15143	P61160
O15143	O15145
O15143	Q9P1U1
O15143	P61158
O15143	P59998
O15143	Q9P215
O15143	Q8TCD5
Q08752	P06132
Q8N3J5	P11182
Q8N3J5	P21953
Q8N3J5	P12694
Q15050	P05387
Q15050	P05386
Q15050	P36578
Q15050	P19338
Q15050	P67809
Q15050	Q6PK04
Q15050	Q9NW13
Q15050	P62424
Q15050	O75533
Q15050	Q9BVI4
Q15050	P61247
Q15050	P62263
Q15050	P46783
Q15050	P15880
Q15050	Q8IY81
Q15050	P23396
Q15050	Q12906
Q15050	Q9NR30
Q15050	P05388
Q15050	P39023
Q15050	P78362
Q15050	Q7L2E3
Q15050	Q02878
Q15050	P10412
Q15050	Q5SSJ5
Q15050	Q6P158
Q15050	P62249
Q15050	Q9BQG0
Q15050	P26368
Q15050	Q9NRW3
Q15050	Q9Y4C8
Q15050	Q8TBF4
Q15050	Q07020
Q15050	P62917
Q15050	Q7Z2W4
Q15050	Q12849
Q15050	O76021
Q15050	P82930
Q15050	P51398
Q15050	P50914
Q15050	P06748
Q15050	Q9BZE4
Q15050	Q14684
Q15050	P62753
