IDa	IDb
P48506	P48507
P48506	ENSG00000108272
P48506	Q9H2P9
P48506	P35573
P23511	Q13952
P23511	P25208
Q9Y4W2	Q9BV38
Q9Y4W2	Q9NXF1
Q9Y4W2	Q8IZL8
Q9Y4W2	Q5SY16
P28838	Q06830
P28838	Q96AE4
P28838	P29401
P28838	P32119
P28838	P26640
P28838	P14174
Q9Y6D9	Q9Y266
Q9Y6D9	Q9Y6E0
Q14847	P27816
Q14847	P23588
Q14847	P09382
Q14847	Q8N6T3
Q14847	P04792
Q14847	P61604
Q14847	Q09666
Q14847	Q9UBU9
Q14847	Q16531
Q05084	Q9UBU8
P84085	Q96EP5
P84085	P61020
P84085	P07195
P84085	P51649
P84085	P11310
P84085	P00338
P84085	Q9Y617
P84085	P13804
P84085	P84077
P84085	P07864
P84085	Q6ZMR3
P84085	Q9BYZ2
P84085	Q15366
P54819	Q32Q12
P54819	Q16658
P54819	Q9Y2R9
P54819	Q12931
P54819	P33316
P54819	Q9Y4W6
P54819	P00441
P54819	Q99720
P54819	P29401
P54819	P42765
P54819	P63244
P54819	P50238
P54819	P22392
Q02790	Q9Y478
Q02790	Q14651
O60341	Q9UKL0
O60341	Q13547
O60341	Q9P2K3
O60341	P61201
O60341	Q92922
O60341	Q92769
P46063	P43246
P46063	P39748
Q96JG6	Q5VIR6
Q96JG6	Q9UID3
O14561	Q9Y3B7
Q9UJS0	Q15717
Q9UJS0	Q16891
P30260	Q9UJX5
P30260	Q9UJX2
P30260	P19338
P30260	P46777
P30260	Q13042
P30260	O00268
P30260	Q15542
P30260	Q9H1A4
P30260	Q9UM13
P30260	Q96DE5
P30260	ENSG00000196510
P53701	P23786
Q92900	Q96QK1
Q92900	P17844
Q92900	Q92905
Q92900	O43390
Q92900	P51532
Q92900	O60610
Q92900	O60506
Q92900	Q96S82
Q92900	Q9NUQ8
Q92900	O95801
P05141	Q6NUK1
P05141	O15305
P05141	P12235
P05141	Q00839
P05141	P61421
P05141	O43181
P05141	P45880
P05141	Q15388
P05141	O43772
P52435	P30876
P52435	P19387
P52435	A0A6Q8PGB0
P49916	Q02241
P49916	Q9H0H5
Q9H6T3	P47756
Q9H6T3	Q9NWS0
Q9H6T3	O94763
Q9H6T3	Q96MX6
Q6FI81	Q15046
Q6FI81	P49588
Q6FI81	P43246
Q6FI81	P43487
Q6FI81	Q9Y5K8
Q6FI81	O75150
Q6FI81	P41250
Q6FI81	Q13155
Q6FI81	Q5T6H7
Q6FI81	Q13617
Q6FI81	P38606
Q6FI81	P42224
Q6FI81	P14868
Q6FI81	Q9Y5K5
Q6FI81	Q9Y2T3
Q6FI81	O43324
Q6FI81	P22314
Q6FI81	Q9P2J5
Q6FI81	P07814
Q6FI81	P21281
Q6FI81	Q12792
Q6FI81	Q5VTR2
Q6FI81	Q12904
Q6FI81	P56192
Q6FI81	Q96D46
Q6FI81	P41252
Q92793	Q16763
Q92793	Q04726
P63010	P53680
P63010	Q9BXS5
P63010	Q9UKX7
P63010	Q9P0L0
P63010	P61966
P63010	Q14677
P63010	Q9Y6Q5
P63010	O96008
P63010	Q9Y376
P63010	P10606
