IDa	IDb
Q66GS9	P20073
Q66GS9	O75970
Q66GS9	O15182
Q66GS9	Q86UR5
Q66GS9	E7ETA6
Q66GS9	Q1MSJ5
Q66GS9	Q96KV7
Q66GS9	Q6EMB2
Q66GS9	G8JL86
Q66GS9	Q6NZ36
Q66GS9	Q96JN8
Q66GS9	Q96NB1
Q66GS9	Q99708
Q66GS9	Q5T9S5
Q66GS9	J3QT39
Q66GS9	O60292
Q66GS9	O75665
Q66GS9	O95684
Q66GS9	O95714
Q66GS9	P02647
Q66GS9	P02786
Q66GS9	P07108
Q66GS9	P10909
Q66GS9	P13861
Q66GS9	P14373
Q66GS9	P41208
Q66GS9	P86452
Q66GS9	Q14789
Q66GS9	Q15154
Q66GS9	Q2KHM9
Q66GS9	Q2TAC2
Q66GS9	Q4AC94
Q66GS9	Q5SW79
Q66GS9	Q5T8D3
Q66GS9	Q5VT06
Q66GS9	Q5VUA4
Q66GS9	Q66GS9
Q66GS9	Q86SQ0
Q66GS9	Q86T90
Q66GS9	Q86Y56
Q66GS9	Q86YT6
Q66GS9	Q8N5M4
Q66GS9	Q8TDM6
Q66GS9	Q8WXW3
Q66GS9	Q96DN5
Q66GS9	Q96ED9
Q66GS9	Q96HP0
Q66GS9	Q96NL6
Q66GS9	Q9BR77
Q66GS9	Q9BVG8
Q66GS9	Q9C0D2
Q66GS9	Q9H799
Q66GS9	Q9HBR0
Q66GS9	Q9NPJ6
Q66GS9	Q9NQG5
Q66GS9	Q9NV70
Q66GS9	Q9P209
Q66GS9	Q9P2S5
Q66GS9	Q9P2Y4
Q66GS9	Q9UKL3
Q66GS9	Q9UMN6
Q66GS9	Q9UPN4
Q66GS9	Q9UPZ3
Q66GS9	Q9Y2D8
Q66GS9	Q9Y6R9
Q9BVW5	Q9UHR5
Q9BVW5	O60524
Q9BVW5	O60812
Q9BVW5	O60941
Q9BVW5	O95070
Q9BVW5	P00966
Q9BVW5	P25205
Q9BVW5	Q4KMP7
Q9BVW5	Q4VC05
Q9BVW5	Q6ZRS2
Q9BVW5	Q86TG7
Q9BVW5	Q96E11
Q9BVW5	Q96FZ2
Q9BVW5	Q96JN0
Q9BVW5	Q9BRT9
Q9BVW5	Q9BRX5
Q9BVW5	Q9BVW5
Q9BVW5	Q9H0D6
Q9BVW5	Q9HAW4
Q9BVW5	Q9ULW3
Q9BVW5	Q9UNF1
Q9BVW5	Q9UNS1
Q9BVW5	Q9UQN3
O43252	Q96GC5
O43252	O95340
O43252	Q13428
O43252	O00461
O43252	O43252
O43252	P02647
O43252	P02786
O43252	P07108
O43252	P14635
O43252	P48047
O43252	Q09028
O43252	Q10471
O43252	Q13423
O43252	Q8N1F8
O43252	Q8N5M4
O43252	Q8TF01
O43252	Q96ED9
O43252	Q9HBR0
O43252	Q9NSE4
O43252	Q9UI08
O43252	Q9UKL3
O43252	Q9ULM6
O43252	Q9UMN6
O43252	Q9UNF1
O43252	Q9UPZ3
O43252	Q9UQN3
Q13573	Q9UJC3
Q13573	Q9HCS7
Q13573	O43488
Q13573	O43660
Q13573	O60306
Q13573	O60508
Q13573	O75643
Q13573	O75934
Q13573	O95084
Q13573	O95391
Q13573	O95926
Q13573	P11413
Q13573	P86452
Q13573	Q13303
Q13573	Q13439
Q13573	Q13573
Q13573	Q14320
Q13573	Q14562
Q13573	Q15649
Q13573	Q6P2Q9
Q13573	Q86SE9
Q13573	Q86YM7
Q13573	Q86YS6
Q13573	F5H0Q6
Q13573	Q8N6N3
Q13573	Q8WUD4
Q13573	Q92766
Q13573	Q96DF8
Q13573	Q96DI7
Q13573	Q96ER3
Q13573	Q96GM8
Q13573	Q99459
Q13573	Q9BXK1
Q13573	Q9BZJ0
Q13573	Q9H568
Q13573	Q9H7D7
Q13573	Q9HC07
Q13573	Q9NSC5
Q13573	Q9NW64
Q13573	Q9P013
Q13573	Q9ULR0
Q13573	Q9UMS4
Q13573	Q9UNP9
Q13573	Q9Y3C6
Q9BW19	Q96GC5
Q9BW19	Q9NPA8
Q9BW19	J3QKR5
Q9BW19	O00505
Q9BW19	O00629
Q9BW19	O75151
Q9BW19	O75533
Q9BW19	O75937
Q9BW19	O95402
Q9BW19	O95678
Q9BW19	P02786
Q9BW19	P17096
Q9BW19	P28324
Q9BW19	P34931
Q9BW19	P35658
Q9BW19	P49756
Q9BW19	P49790
Q9BW19	P49792
Q9BW19	P52292
Q9BW19	P52756
Q9BW19	P52948
Q9BW19	P57740
Q9BW19	Q08554
Q9BW19	Q86XP3
Q9BW19	Q8IWX8
Q9BW19	Q8IX12
Q9BW19	Q8N1F7
Q9BW19	Q8NFH5
Q9BW19	Q8TF01
Q9BW19	Q8WW12
Q9BW19	Q96EE3
Q9BW19	Q96FZ2
Q9BW19	Q96GM5
Q9BW19	Q96HP0
Q9BW19	Q9BW19
Q9BW19	Q9UBR2
Q9BW19	Q9UKX7
Q9BW19	Q9UPT8
Q9BW19	Q9UPZ3
Q9BW19	Q9Y6K0
O43264	A2RRP1
O43264	Q9P2W9
O43264	Q99942
O43264	O14802
O43264	O15269
O43264	O43264
O43264	P20020
O43264	P50748
O43264	Q12981
O43264	Q6NUQ1
O43264	Q8WU76
O43264	Q8WVM8
O43264	Q9H0H5
O43264	Q9H900
O43264	Q9NZ43
O43264	Q9UFG5
Q8TD19	Q32P44
Q8TD19	Q9BQE3
Q8TD19	P07437
Q8TD19	O00423
Q8TD19	O95834
Q8TD19	P46939
Q8TD19	P63167
Q8TD19	P68371
Q8TD19	Q6ZS30
Q8TD19	Q8TCJ2
Q8TD19	Q8TD19
Q8TD19	Q8TDX7
Q8TD19	Q96EU6
Q8TD19	Q9HC35
Q96BD8	Q5T9S5
Q96BD8	P10809
Q96BD8	Q8IX90
Q96BD8	Q8N163
Q96BD8	Q8WVK7
Q96BD8	Q96BD8
O43683	Q96KQ7
O43683	Q14141
O43683	O60683
O43683	Q96C57
O43683	Q9UIK4
O43683	Q9HB58
O43683	Q96QT4
O43683	Q6NZ36
O43683	Q99708
O43683	O95071
O43683	O00743
O43683	O14657
O43683	O15269
O43683	O43683
O43683	O43684
O43683	O60346
O43683	O75061
O43683	O95229
O43683	P10398
O43683	P10909
O43683	P30837
O43683	P42336
O43683	P42704
O43683	P51398
O43683	P53634
O43683	Q06609
O43683	Q08499
O43683	Q12834
O43683	Q13011
O43683	Q5VT52
O43683	Q9HCL2
O43683	Q6P1K2
O43683	Q6YN16
O43683	Q8N490
O43683	Q8N4N3
O43683	Q8NG31
O43683	Q8WYB5
O43683	Q96AE4
O43683	Q96JN0
O43683	Q9GZU8
O43683	Q9H1I8
O43683	Q9H583
O43683	Q9P2X3
O43683	Q9UQN3
A5YKK6	A5YKK6
A5YKK6	Q9UFF9
A5YKK6	Q9P2D0
A5YKK6	Q8IY67
A5YKK6	Q96LI5
A5YKK6	Q14192
A5YKK6	O00560
A5YKK6	O15504
A5YKK6	O75175
A5YKK6	P17480
A5YKK6	P42677
A5YKK6	P46100
A5YKK6	P47755
A5YKK6	P47756
A5YKK6	P50616
A5YKK6	P52907
A5YKK6	Q14106
A5YKK6	Q14201
A5YKK6	Q5W0B1
A5YKK6	Q6P9B9
A5YKK6	Q7KZF4
A5YKK6	Q8NE71
A5YKK6	Q92600
A5YKK6	Q9BTU6
A5YKK6	Q9C0C2
A5YKK6	Q9H9A5
A5YKK6	Q9HC44
A5YKK6	Q9NWT8
A5YKK6	Q9NZN8
A5YKK6	Q9UHB7
A5YKK6	Q9UIV1
A5YKK6	Q9UKZ1
A5YKK6	Q9ULM6
Q9UKF6	O15460
Q9UKF6	O95639
