"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"72","25","58","3.89268293","1.7456E-4","0.25689223","0.0","7","6","false","Q96BA8","12.28571429","7","0","0","0.63841463","false","0","Q96BA8","163724","0.15674603"
"73","0","10","4.7724828","3.2E-7","0.20953454","0.0","2","7","false","Q92982","7.5","2","0","0","0.52843965","false","0","Q92982","358","0.59090909"
"75","80","322","3.31282051","0.00168658","0.30185759","0.0","27","6","false","Q13021","13.22222222","27","0","0","0.71089744","false","0","Q13021","1819074","0.0466497"
"77","35","81","3.60137586","1.4328E-4","0.27767166","0.0","6","6","false","Q08629","23.16666667","6","0","0","0.67482802","false","0","Q08629","111588","0.18945869"
"79","20","47","4.24752971","2.7708E-4","0.23543096","0.0","8","6","false","Q9UBY5","6.375","8","0","0","0.59405879","false","0","Q9UBY5","418018","0.15357143"
"81","90","417","3.13883677","0.00182794","0.31858936","0.02105263","20","5","false","P05090","67.15","20","0","0","0.7326454","false","0","P05090","1400078","0.05324779"
"83","40","89","3.52795497","2.1217E-4","0.28345033","0.0","9","6","false","Q6Y1H2","16.77777778","9","0","0","0.68400563","false","0","Q6Y1H2","230928","0.12230835"
"85","65","209","3.50043777","1.9233E-4","0.28567855","0.01098901","14","6","false","Q6BDS2","25.0","14","0","0","0.68744528","false","0","Q6BDS2","155660","0.08239883"
"87","25","61","3.8572858","2.56E-4","0.25924965","0.0","8","6","false","Q8TED1","11.5","8","0","0","0.64283927","false","0","Q8TED1","202966","0.14"
"89","95","487","3.13108193","8.7159E-4","0.31937842","0.08187135","19","5","false","Q01844","151.73684211","19","0","0","0.73361476","false","0","Q01844","1777604","0.08255089"
"91","90","417","3.07304565","0.00120144","0.32541007","0.03333333","16","5","false","P07947","160.4375","16","0","0","0.74086929","false","0","P07947","2819444","0.08807131"
"93","45","126","3.78611632","1.1456E-4","0.26412289","0.0","4","6","false","Q8N6L0","72.75","4","0","0","0.65173546","false","0","Q8N6L0","87640","0.25175439"
"95","85","417","3.33370857","9.4328E-4","0.29996623","0.04444444","10","5","false","O43889","111.3","10","0","0","0.70828643","false","0","O43889","1303770","0.10696325"
"97","20","45","4.06641651","5.0222E-4","0.24591677","0.0","6","7","false","P35372","17.33333333","6","0","0","0.61669794","false","0","P35372","402528","0.17013889"
"99","15","34","4.12270169","5.037E-5","0.24255939","0.0","4","7","false","Q9UJ14","15.75","4","0","0","0.60966229","false","0","Q9UJ14","114238","0.25431034"
"101","35","74","3.9054409","7.533E-5","0.25605304","0.0","6","6","false","Q12846","27.33333333","6","0","0","0.63681989","false","0","Q12846","174128","0.18414918"
"103","90","425","3.09143215","0.00326783","0.32347467","0.04","25","5","false","P06241","94.2","25","0","0","0.73857098","false","0","P06241","4662436","0.05318208"
"105","95","479","2.99049406","0.00194749","0.33439291","0.02758621","30","5","false","P63279","99.63333333","30","0","0","0.75118824","false","0","P63279","3292028","0.04740705"
"107","25","57","4.01851157","7.476E-5","0.24884836","0.0","6","6","false","O15173","18.33333333","6","0","0","0.62268605","false","0","O15173","152384","0.17508418"
"109","50","134","3.69305816","1.3174E-4","0.2707783","0.0","8","6","false","Q9NQC3","40.875","8","0","0","0.66336773","false","0","Q9NQC3","147004","0.13203642"
"111","65","215","3.59262039","2.0326E-4","0.27834836","0.0","6","6","false","Q00765","78.33333333","6","0","0","0.67592245","false","0","Q00765","337026","0.1722346"
"113","80","336","3.4435272","4.813E-5","0.29039991","0.0","7","6","false","Q14966","126.85714286","7","0","0","0.6945591","false","0","Q14966","189618","0.19665179"
"115","50","133","3.86954346","8.421E-5","0.25842842","0.0","3","6","false","O95639","109.33333333","3","0","0","0.64130707","false","0","O95639","42286","0.33436214"
"117","45","121","3.68742964","1.0799E-4","0.27119161","0.0","6","6","false","P18859","52.5","6","0","0","0.66407129","false","0","P18859","177426","0.17697595"
"119","0","14","4.31269543","0.0","0.23187355","0.0","1","7","false","Q6ZP80","27.0","1","0","0","0.58591307","false","0","Q6ZP80","0","0.0"
"121","95","568","2.90456535","0.00297163","0.34428559","0.08989899","45","5","false","P35232","153.93333333","45","0","0","0.76192933","false","0","P35232","8333942","0.05454976"
"123","85","417","3.25766104","1.3364E-4","0.30696871","0.0","6","5","false","Q7Z406","249.16666667","6","0","0","0.71779237","false","0","Q7Z406","360658","0.19758493"
"125","85","417","3.27904941","3.1962E-4","0.30496643","0.03030303","12","5","false","P55060","119.33333333","12","0","0","0.71511882","false","0","P55060","672094","0.0950187"
"127","90","417","3.123202","5.5375E-4","0.32018422","0.05714286","15","5","false","Q99623","159.4","15","0","0","0.73459975","false","0","Q99623","1314538","0.08632989"
"129","75","303","3.35046904","1.668E-4","0.29846567","0.0","9","6","false","Q9UDY2","93.66666667","9","0","0","0.70619137","false","0","Q9UDY2","335096","0.12834718"
"131","95","631","3.03927455","0.00851262","0.32902589","0.00457561","94","5","false","P35610","12.11702128","94","0","0","0.74509068","false","0","P35610","14288866","0.02189271"
