"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"72","0","3","5.81551029","0.0","0.17195396","0.0","1","8","false","O15484","4.0","1","0","0","0.4649433","false","0","O15484","0","0.0"
"73","0","3","5.81551029","0.0","0.17195396","0.0","1","8","false","Q8N3S3","4.0","1","0","0","0.4649433","false","0","Q8N3S3","0","0.0"
"74","0","3","5.81551029","0.0","0.17195396","0.0","1","8","false","Q8NFN8","4.0","1","0","0","0.4649433","false","0","Q8NFN8","0","0.0"
"75","0","2","5.28018247","0.0","0.18938739","0.0","1","8","false","Q8N699","2.0","1","0","0","0.52442417","false","0","Q8N699","0","0.0"
"76","0","2","5.37863357","0.0","0.18592083","0.0","1","8","false","P04070","2.0","1","0","0","0.51348516","false","0","P04070","0","0.0"
"77","0","3","4.30755358","0.0","0.23215033","0.0","1","7","false","P35716","5.0","1","0","0","0.63249405","false","0","P35716","0","0.0"
"78","0","3","4.75334182","0.0","0.21037831","0.0","1","7","false","Q9P2H3","5.0","1","0","0","0.58296202","false","0","Q9P2H3","0","0.0"
"79","0","10","4.81561638","6.3647E-4","0.20765774","0.0","4","7","false","Q9UMS5","1.5","4","0","0","0.57604262","false","0","Q9UMS5","557682","0.25"
"80","0","2","5.93252705","0.0","0.16856223","0.0","1","9","false","Q96K31","2.0","1","0","0","0.45194144","false","0","Q96K31","0","0.0"
"81","0","5","4.4219181","0.0","0.22614621","0.0","1","7","false","P02452","8.0","1","0","0","0.61978688","false","0","P02452","0","0.0"
"82","0","1","1.0","0.0","1.0","0.0","1","1","false","P15391","1.0","1","0","0","1.0","false","0","P15391","0","0.0"
"83","0","1","1.0","0.0","1.0","0.0","1","1","false","Q9H8M7","1.0","1","0","0","1.0","false","0","Q9H8M7","0","0.0"
"84","0","2","6.09707193","0.0","0.16401315","0.0","1","9","false","P27352","2.0","1","0","0","0.43365867","false","0","P27352","0","0.0"
"85","0","2","5.58964566","0.0","0.17890222","0.0","1","8","false","Q9Y584","2.0","1","0","0","0.49003937","false","0","Q9Y584","0","0.0"
"86","0","3","5.07139826","0.0","0.19718428","0.0","1","8","false","Q8N0V4","5.0","1","0","0","0.54762242","false","0","Q8N0V4","0","0.0"
"87","0","3","4.65690643","0.0","0.21473483","0.0","1","7","false","Q9NYF5","5.0","1","0","0","0.59367706","false","0","Q9NYF5","0","0.0"
"88","0","12","4.28050074","0.0","0.23361753","0.0","1","7","false","Q9C0G0","23.0","1","0","0","0.63549992","false","0","Q9C0G0","0","0.0"
"89","0","12","4.28050074","0.0","0.23361753","0.0","1","7","false","Q499Z4","23.0","1","0","0","0.63549992","false","0","Q499Z4","0","0.0"
"90","0","12","4.28050074","0.0","0.23361753","0.0","1","7","false","P16415","23.0","1","0","0","0.63549992","false","0","P16415","0","0.0"
"91","0","4","4.478676","2.1218E-4","0.22328027","0.0","2","7","false","Q8TD84","2.0","2","0","0","0.61348044","false","0","Q8TD84","422862","0.5"
"92","0","2","5.47856991","0.0","0.18252939","0.0","1","8","false","Q86UL8","2.0","1","0","0","0.50238112","false","0","Q86UL8","0","0.0"
"93","0","3","4.82081477","0.0","0.20743382","0.0","1","7","false","P07093","5.0","1","0","0","0.57546503","false","0","P07093","0","0.0"
"94","0","8","4.4513049","1.27E-6","0.22465322","0.0","2","7","false","P29120","5.0","2","0","0","0.61652168","false","0","P29120","1456","0.5"
"95","0","3","5.06726077","0.0","0.19734528","0.0","1","8","false","Q96EF0","4.0","1","0","0","0.54808214","false","0","Q96EF0","0","0.0"
"96","0","3","4.72363675","0.0","0.21170129","0.0","1","8","false","P50747","5.0","1","0","0","0.58626258","false","0","P50747","0","0.0"
"97","0","3","4.82431572","0.0","0.20728328","0.0","1","8","false","Q13636","5.0","1","0","0","0.57507603","false","0","Q13636","0","0.0"
"98","0","4","4.75175048","0.0","0.21044876","0.0","1","7","false","Q9BXP8","6.0","1","0","0","0.58313884","false","0","Q9BXP8","0","0.0"
"99","0","5","5.29662635","0.0","0.18879942","0.0","1","8","false","Q6B0J5","9.0","1","0","0","0.52259707","false","0","Q6B0J5","0","0.0"
"100","0","5","5.29662635","0.0","0.18879942","0.0","1","8","false","Q8WW62","9.0","1","0","0","0.52259707","false","0","Q8WW62","0","0.0"
"101","0","5","5.29662635","0.0","0.18879942","0.0","1","8","false","P30926","9.0","1","0","0","0.52259707","false","0","P30926","0","0.0"
"102","0","2","5.53554","0.0","0.18065085","0.0","1","9","false","P12645","3.0","1","0","0","0.49605111","false","0","P12645","0","0.0"
"103","0","6","4.82877148","0.0","0.20709201","0.0","1","8","false","Q6NT55","10.0","1","0","0","0.57458095","false","0","Q6NT55","0","0.0"
"104","0","6","4.72236367","0.0","0.21175836","0.0","1","7","false","Q96BS2","11.0","1","0","0","0.58640404","false","0","Q96BS2","0","0.0"
"105","0","6","4.72236367","0.0","0.21175836","0.0","1","7","false","Q9Y6X5","11.0","1","0","0","0.58640404","false","0","Q9Y6X5","0","0.0"
"106","0","3","5.31635901","0.0","0.18809866","0.0","1","8","false","Q8IWP9","5.0","1","0","0","0.52040455","false","0","Q8IWP9","0","0.0"
"107","0","2","5.37767876","0.0","0.18595384","0.0","1","8","false","Q8N474","2.0","1","0","0","0.51359125","false","0","Q8N474","0","0.0"
"108","0","4","4.60661999","0.0","0.2170789","0.0","1","7","false","P05181","7.0","1","0","0","0.59926445","false","0","P05181","0","0.0"
"109","0","7","4.38181625","0.0","0.22821587","0.0","1","7","false","O43854","13.0","1","0","0","0.62424264","false","0","O43854","0","0.0"
"110","0","5","4.49777212","0.0","0.2223323","0.0","1","7","false","Q9H0W7","8.0","1","0","0","0.61135865","false","0","Q9H0W7","0","0.0"
"111","0","5","4.76883089","0.0","0.209695","0.0","1","7","false","P48029","9.0","1","0","0","0.58124101","false","0","P48029","0","0.0"
"112","0","7","4.2869722","0.0","0.23326487","0.0","1","7","false","P34913","13.0","1","0","0","0.63478087","false","0","P34913","0","0.0"
"113","0","3","4.77774241","0.0","0.20930387","0.0","1","8","false","P29017","5.0","1","0","0","0.58025084","false","0","P29017","0","0.0"
"114","0","9","4.2931254","0.0","0.23293054","0.0","1","7","false","A8K8P3","17.0","1","0","0","0.63409718","false","0","A8K8P3","0","0.0"
"115","0","2","5.0963293","0.0","0.19621966","0.0","1","8","false","Q9H172","3.0","1","0","0","0.5448523","false","0","Q9H172","0","0.0"
"116","0","6","4.50901761","0.0","0.2217778","0.0","1","7","false","Q16831","10.0","1","0","0","0.61010915","false","0","Q16831","0","0.0"
"117","0","8","4.32474008","5.2E-7","0.23122777","0.0","2","8","false","Q96JT2","5.0","2","0","0","0.63058444","false","0","Q96JT2","1942","0.5"
"118","0","2","4.92976872","0.0","0.20284927","0.0","1","8","false","Q96NJ6","3.0","1","0","0","0.56335903","false","0","Q96NJ6","0","0.0"
"119","0","15","4.28007638","1.99E-6","0.23364069","0.0","3","7","false","Q9Y258","6.0","3","0","0","0.63554707","false","0","Q9Y258","3154","0.33333333"
"120","0","7","4.23085084","0.0","0.23635908","0.0","1","7","false","Q9H2C1","13.0","1","0","0","0.64101657","false","0","Q9H2C1","0","0.0"
"121","0","6","4.36070443","0.0","0.22932075","0.0","1","7","false","P09238","10.0","1","0","0","0.6265884","false","0","P09238","0","0.0"
"122","0","8","4.4888606","0.0","0.22277368","0.0","1","7","false","Q86SU0","14.0","1","0","0","0.61234882","false","0","Q86SU0","0","0.0"
"123","0","10","4.04498196","0.0","0.24721989","0.0","1","6","false","P23327","19.0","1","0","0","0.66166867","false","0","P23327","0","0.0"
"124","0","5","4.97379588","0.0","0.20105369","0.0","1","8","false","Q9HBE5","8.0","1","0","0","0.55846712","false","0","Q9HBE5","0","0.0"
"125","0","4","4.60959049","0.0","0.21693901","0.0","1","8","false","O15247","6.0","1","0","0","0.59893439","false","0","O15247","0","0.0"
"126","0","4","4.64428177","0.0","0.21531855","0.0","1","7","false","P31949","7.0","1","0","0","0.5950798","false","0","P31949","0","0.0"
"127","0","8","4.51761086","0.0","0.22135594","0.0","1","7","false","Q9UHK6","15.0","1","0","0","0.60915435","false","0","Q9UHK6","0","0.0"
"128","0","5","4.3356673","0.0","0.230645","0.0","1","7","false","Q86UC2","9.0","1","0","0","0.6293703","false","0","Q86UC2","0","0.0"
"129","0","3","4.93687672","0.0","0.20255721","0.0","1","8","false","Q13042","4.0","1","0","0","0.56256925","false","0","Q13042","0","0.0"
"130","5","27","4.21918099","2.43E-6","0.23701282","0.0","4","7","false","Q5TGL8","8.75","4","0","0","0.64231322","false","0","Q5TGL8","4354","0.29807692"
