Human	Herpes
P08631	Herpes:Q9WNA9
P20226	Herpes:Q77ZG5
P28749	Herpes:Q77Q82
P27694	Herpes:D0UZU1
O15111	Herpes:Q76RF1
O14920	Herpes:Q76RF1
Q93008	Herpes:Q98143
O60684	Herpes:E5LBT9
O60684	Herpes:F5HE15
Q969H0	Herpes:Q91LX9
Q9UER7	Herpes:D0UZU1
Q93009	Herpes:F5H9D8
Q93009	Herpes:Q77UV9
P36507	Herpes:O40948
P62993	Herpes:O40931
P52294	Herpes:E5LBT9
P52294	Herpes:F5HE15
P34741	Herpes:Q77Q82
Q7KZI7	Herpes:Q76RH4
Q86VP6	Herpes:F5HFG5
P52948	Herpes:E5LBS6
Q9UJX4	Herpes:O40939
Q9UJX2	Herpes:Q98143
O00629	Herpes:O40917
O43395	Herpes:F5HFL9
P30260	Herpes:O40939
Q13042	Herpes:O40939
Q92558	Herpes:O40939
P26358	Herpes:Q77UV9
O60885	Herpes:D0UZS0
Q9UM13	Herpes:O40939
P51608	Herpes:D0UZU1
P78406	Herpes:E5LBS6
Q9UII4	Herpes:Q76RH4
P27824	Herpes:O40918
Q15172	Herpes:Q76RH3
P52756	Herpes:O40939
Q6ZU65	Herpes:D0UZU1
Q9H6T3	Herpes:Q98140
Q7L7L0	Herpes:D0UZU1
Q9Y2B0	Herpes:P88968
P28482	Herpes:Q77UV9
P14735	Herpes:F5HE15
P06400	Herpes:Q77Q82
Q9H074	Herpes:Q98143
Q5SYE7	Herpes:Q98143
P15336	Herpes:D0UZU1
Q92793	Herpes:Q77Q82
Q96S59	Herpes:Q98143
O00429	Herpes:F5HFG5
O75787	Herpes:F5H9K4
P24941	Herpes:F5HC81
O60678	Herpes:Q76S40
P42771	Herpes:F5HC81
P55265	Herpes:D0UZP9
O96008	Herpes:Q76RG1
Q86X55	Herpes:O40945
Q15596	Herpes:O92608
Q13162	Herpes:Q76S40
P78346	Herpes:D0UZP9
Q07666	Herpes:Q76S40
P50990	Herpes:F5HC81
Q86SQ7	Herpes:Q98143
Q9Y2Z0	Herpes:F5HBQ9
Q12874	Herpes:O40939
Q13438	Herpes:F5HE15
O43809	Herpes:Q98143
Q16630	Herpes:Q98143
Q9H0M0	Herpes:F5HE15
Q12873	Herpes:O40939
O15504	Herpes:E5LBS6
Q16543	Herpes:Q76RF1
Q99623	Herpes:P88970
Q9BZF3	Herpes:Q76RG8
P13073	Herpes:O36551
P14406	Herpes:O36551
P55060	Herpes:F5HFG5
Q6ZPD9	Herpes:O36551
Q8N0U8	Herpes:Q77ZG4
Q86U38	Herpes:F5HFG5
Q14574	Herpes:O40948
Q09472	Herpes:Q77Q82
P11171	Herpes:D0UZU1
P22087	Herpes:W6AVY5
P35556	Herpes:Q9DUM9
P22830	Herpes:Q98136
Q9UPN7	Herpes:E5LBX0
A5YKK6	Herpes:E5LBX2
Q9BS26	Herpes:D2XQB9
Q9Y2J2	Herpes:D0UZU1
Q14697	Herpes:O40918
Q8IWV8	Herpes:O36551
Q9HCN8	Herpes:P88970
Q9Y6C9	Herpes:O36551
Q9BYC5	Herpes:O36551
Q06136	Herpes:F5HFG5
P06241	Herpes:Q9WNA9
Q7Z739	Herpes:E5LBS6
Q9UBB4	Herpes:F5HFG5
Q9H4L5	Herpes:Q76RG8
Q9H4L4	Herpes:P88968
Q9UKV8	Herpes:E5LBS6
Q96DZ1	Herpes:O36551
Q92896	Herpes:O36551
Q9Y6E2	Herpes:F5HFG5
P30101	Herpes:D2XQB9
P78347	Herpes:O36551
Q8WUA4	Herpes:O36551
Q96G23	Herpes:F5HFG5
P0C0S5	Herpes:D0UZU1
P55084	Herpes:O40918
P55084	Herpes:O36551
Q8IUE6	Herpes:D0UZU1
Q99873	Herpes:O36551
P48741	Herpes:W6AVY5
P38646	Herpes:W6AVY5
P05067	Herpes:D2XQB9
P52292	Herpes:E5LBT9
O00505	Herpes:O40917
P49916	Herpes:D0UZU1
P49257	Herpes:Q98138
P07948	Herpes:Q9WNA9
P43246	Herpes:Q76RF6
P01106	Herpes:Q9DUN1
P16333	Herpes:Q9WNA9
O96000	Herpes:O36551
Q9NZN8	Herpes:E5LBX2
P06748	Herpes:Q98147
Q99567	Herpes:E5LBS6
Q8TED1	Herpes:Q76SF8
P07237	Herpes:D2XQB9
Q6PKC3	Herpes:D2XQB9
Q9UI26	Herpes:F5HFG5
Q9UBS4	Herpes:P88970
O95232	Herpes:Q98143
Q99471	Herpes:Q9DUN1
P48426	Herpes:D0UZU1
Q02809	Herpes:Q98143
Q9P2I0	Herpes:Q98143
Q07864	Herpes:O36551
P24928	Herpes:Q98140
P19387	Herpes:Q98140
O15514	Herpes:Q98140
P62487	Herpes:Q98140
P52434	Herpes:Q98140
P36954	Herpes:Q98140
P52435	Herpes:Q98140
