Human Herpes
P08631 Herpes_target
P20226 Herpes_target
P28749 Herpes_target
P27694 Herpes_target
O15111 Herpes_target
O14920 Herpes_target
Q93008 Herpes_target
O60684 Herpes_target
O60684 Herpes_target
Q969H0 Herpes_target
Q9UER7 Herpes_target
Q93009 Herpes_target
Q93009 Herpes_target
P36507 Herpes_target
P62993 Herpes_target
P52294 Herpes_target
P52294 Herpes_target
P34741 Herpes_target
Q7KZI7 Herpes_target
Q86VP6 Herpes_target
P52948 Herpes_target
Q9UJX4 Herpes_target
Q9UJX2 Herpes_target
O00629 Herpes_target
O43395 Herpes_target
P30260 Herpes_target
Q13042 Herpes_target
Q92558 Herpes_target
P26358 Herpes_target
O60885 Herpes_target
Q9UM13 Herpes_target
P51608 Herpes_target
P78406 Herpes_target
Q9UII4 Herpes_target
P27824 Herpes_target
Q15172 Herpes_target
P52756 Herpes_target
Q6ZU65 Herpes_target
Q9H6T3 Herpes_target
Q7L7L0 Herpes_target
Q9Y2B0 Herpes_target
P28482 Herpes_target
P14735 Herpes_target
P06400 Herpes_target
Q9H074 Herpes_target
Q5SYE7 Herpes_target
P15336 Herpes_target
Q92793 Herpes_target
Q96S59 Herpes_target
O00429 Herpes_target
O75787 Herpes_target
P24941 Herpes_target
O60678 Herpes_target
P42771 Herpes_target
P55265 Herpes_target
O96008 Herpes_target
Q86X55 Herpes_target
Q15596 Herpes_target
Q13162 Herpes_target
P78346 Herpes_target
Q07666 Herpes_target
P50990 Herpes_target
Q86SQ7 Herpes_target
Q9Y2Z0 Herpes_target
Q12874 Herpes_target
Q13438 Herpes_target
O43809 Herpes_target
Q16630 Herpes_target
Q9H0M0 Herpes_target
Q12873 Herpes_target
O15504 Herpes_target
Q16543 Herpes_target
Q99623 Herpes_target
Q9BZF3 Herpes_target
P13073 Herpes_target
P14406 Herpes_target
P55060 Herpes_target
Q6ZPD9 Herpes_target
Q8N0U8 Herpes_target
Q86U38 Herpes_target
Q14574 Herpes_target
Q09472 Herpes_target
P11171 Herpes_target
P22087 Herpes_target
P35556 Herpes_target
P22830 Herpes_target
Q9UPN7 Herpes_target
A5YKK6 Herpes_target
Q9BS26 Herpes_target
Q9Y2J2 Herpes_target
Q14697 Herpes_target
Q8IWV8 Herpes_target
Q9HCN8 Herpes_target
Q9Y6C9 Herpes_target
Q9BYC5 Herpes_target
Q06136 Herpes_target
P06241 Herpes_target
Q7Z739 Herpes_target
Q9UBB4 Herpes_target
Q9H4L5 Herpes_target
Q9H4L4 Herpes_target
Q9UKV8 Herpes_target
Q96DZ1 Herpes_target
Q92896 Herpes_target
Q9Y6E2 Herpes_target
P30101 Herpes_target
P78347 Herpes_target
Q8WUA4 Herpes_target
Q96G23 Herpes_target
P0C0S5 Herpes_target
P55084 Herpes_target
P55084 Herpes_target
Q8IUE6 Herpes_target
Q99873 Herpes_target
P48741 Herpes_target
P38646 Herpes_target
P05067 Herpes_target
P52292 Herpes_target
O00505 Herpes_target
P49916 Herpes_target
P49257 Herpes_target
P07948 Herpes_target
P43246 Herpes_target
P01106 Herpes_target
P16333 Herpes_target
O96000 Herpes_target
Q9NZN8 Herpes_target
P06748 Herpes_target
Q99567 Herpes_target
Q8TED1 Herpes_target
P07237 Herpes_target
Q6PKC3 Herpes_target
Q9UI26 Herpes_target
Q9UBS4 Herpes_target
O95232 Herpes_target
Q99471 Herpes_target
P48426 Herpes_target
Q02809 Herpes_target
Q9P2I0 Herpes_target
Q07864 Herpes_target
P24928 Herpes_target
P19387 Herpes_target
O15514 Herpes_target
P62487 Herpes_target
P52434 Herpes_target
P36954 Herpes_target
P52435 Herpes_target
P53803 Herpes_target
P62875 Herpes_target
Q5VWQ0 Herpes_target
Q5VWQ0 Herpes_target
P62136 Herpes_target
P36873 Herpes_target
Q96EP0 Herpes_target
Q96QC0 Herpes_target
Q96LA8 Herpes_target
P63151 Herpes_target
Q9NVI7 Herpes_target
P17612 Herpes_target
Q66LE6 Herpes_target
P14314 Herpes_target
P27361 Herpes_target
Q9NR28 Herpes_target
Q9HD23 Herpes_target
Q15293 Herpes_target
Q14257 Herpes_target
P46063 Herpes_target
P25440 Herpes_target
Q96AY3 Herpes_target
P15927 Herpes_target
Q99470 Herpes_target
Q9C0C9 Herpes_target
P21912 Herpes_target
Q9H4A6 Herpes_target
P54132 Herpes_target
Q9C0E2 Herpes_target
Q8IUQ4 Herpes_target
Q14527 Herpes_target
P12931 Herpes_target
P40763 Herpes_target
Q99442 Herpes_target
Q99615 Herpes_target
P54198 Herpes_target
P35658 Herpes_target
Q9H7D7 Herpes_target
P27797 Herpes_target
Q96EE3 Herpes_target
Q93077 Herpes_target
P62807 Herpes_target
P58107 Herpes_target
Q13618 Herpes_target
Q9Y6K9 Herpes_target
P17152 Herpes_target
O95470 Herpes_target
O95714 Herpes_target
P0C0S8 Herpes_target
Q86T03 Herpes_target
O43172 Herpes_target
Q969Z0 Herpes_target
Q9Y5Q8 Herpes_target
Q9UKN8 Herpes_target
Q96DI7 Herpes_target
Q71UI9 Herpes_target
Q9Y287 Herpes_target
O95816 Herpes_target
P13667 Herpes_target
O75170 Herpes_target
Q15020 Herpes_target
Q96HA1 Herpes_target
Q15397 Herpes_target
Q9Y2W1 Herpes_target
intact:EBI-7555615 Herpes_target
A4D1E9 Herpes_target
A4D1E9 Herpes_target
A6NFI3 Herpes_target
O00178 Herpes_target
O00308 Herpes_target
O00330 Herpes_target
O00471 Herpes_target
O00507 Herpes_target
O14548 Herpes_target
O14733 Herpes_target
O14773 Herpes_target
O14787 Herpes_target
O14949 Herpes_target
O15084 Herpes_target
O15131 Herpes_target
O15131 Herpes_target
O15211 Herpes_target
O15228 Herpes_target
O15259 Herpes_target
O15381 Herpes_target
O43148 Herpes_target
O43149 Herpes_target
O43237 Herpes_target
O43255 Herpes_target
