Human Influenza
P17066 Influenza_target
P05161 Influenza_target
Q99873 Influenza_target
O95841 Influenza_target
P60866 Influenza_target
Q15906 Influenza_target
Q9BRH9 Influenza_target
Q9BXD5 Influenza_target
Q9Y264 Influenza_target
Q12959 Influenza_target
P45984 Influenza_target
P01857 Influenza_target
Q12906 Influenza_target
P63208 Influenza_target
O00459 Influenza_target
O15226 Influenza_target
O95639 Influenza_target
P55265 Influenza_target
P06733 Influenza_target
P06733 Influenza_target
Q9NUL3 Influenza_target
Q13227 Influenza_target
P08865 Influenza_target
P21912 Influenza_target
P21912 Influenza_target
P18583 Influenza_target
O95793 Influenza_target
Q13155 Influenza_target
P35658 Influenza_target
P63167 Influenza_target
Q96HA1 Influenza_target
O14907 Influenza_target
O14908 Influenza_target
O43303 Influenza_target
O75348 Influenza_target
O75348 Influenza_target
O75569 Influenza_target
O95219 Influenza_target
O95229 Influenza_target
P07942 Influenza_target
P15822 Influenza_target
P15822 Influenza_target
P19429 Influenza_target
P19429 Influenza_target
P27540 Influenza_target
P27986 Influenza_target
P46108 Influenza_target
P49589 Influenza_target
P62750 Influenza_target
P63010 Influenza_target
P78352 Influenza_target
Q03188 Influenza_target
Q07817 Influenza_target
Q08AM6 Influenza_target
Q13105 Influenza_target
Q13561 Influenza_target
Q14160 Influenza_target
Q15633 Influenza_target
Q15942 Influenza_target
Q15942 Influenza_target
Q49A26 Influenza_target
Q49A26 Influenza_target
Q4J6C6 Influenza_target
Q5SXM2 Influenza_target
Q5SXM2 Influenza_target
Q5TA45 Influenza_target
Q5W0U4 Influenza_target
Q6PI77 Influenza_target
Q8N4C6 Influenza_target
Q8NC69 Influenza_target
Q8NC69 Influenza_target
Q8TD31 Influenza_target
Q96MW5 Influenza_target
Q96SI9 Influenza_target
Q9BSY4 Influenza_target
Q9C099 Influenza_target
Q9H1D9 Influenza_target
Q9H1D9 Influenza_target
Q9H1Y0 Influenza_target
Q9H257 Influenza_target
Q9H3R5 Influenza_target
Q9NS73 Influenza_target
Q9NX74 Influenza_target
Q9NY93 Influenza_target
Q9NYF8 Influenza_target
Q9P2Y5 Influenza_target
Q9UBW7 Influenza_target
Q9UBW7 Influenza_target
Q9UIA0 Influenza_target
Q9Y2V7 Influenza_target
Q9Y692 Influenza_target
Q9Y692 Influenza_target
Q9Y6N6 Influenza_target
Q9Y6X2 Influenza_target
Q9Y6X2 Influenza_target
Q07812 Influenza_target
P45984 Influenza_target
O60684 Influenza_target
P63279 Influenza_target
O43521 Influenza_target
P52294 Influenza_target
P05161 Influenza_target
P62805 Influenza_target
Q08379 Influenza_target
Q15654 Influenza_target
Q13651 Influenza_target
Q9UII4 Influenza_target
O95639-1 Influenza_target
O95639 Influenza_target
Q9P1Z2 Influenza_target
Q7L7L0 Influenza_target
Q12933 Influenza_target
Q96FJ2 Influenza_target
P22492 Influenza_target
P20671 Influenza_target
