# protein_xref_1	protein_xref_2	alternative_identifiers_1	alternative_identifiers_2	protein_alias_1	protein_alias_2	detection_method	author_name	pmid	protein_taxid_1	protein_taxid_2	interaction_type	source_database_id	database_identifier	confidence
uniprotkb:Q12959	uniprotkb:P27962	intact:EBI-357481|uniprotkb:Q12958|uniprotkb:A5YKK7|uniprotkb:B7ZMM0|uniprotkb:B9EIQ5|uniprotkb:D3DXB8|uniprotkb:D3DXB9|uniprotkb:B4DGU1|uniprotkb:B4DGZ8|uniprotkb:E7EWL7|uniprotkb:E9PG21	intact:EBI-11793889	psi-mi:dlg1_human(display_long)|uniprotkb:DLG1(gene name)|psi-mi:DLG1(display_short)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:hDlg(gene name synonym)	psi-mi:ve6_hpvme(display_long)|uniprotkb:E6(gene name)|psi-mi:E6(display_short)	psi-mi:MI:0084(phage display)	Ivarsson et al. (2014)	imex:IM-25074|pubmed:24550280	9606	10602	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-11793899|imex:IM-25074-14	intact-miscore:0.40
uniprotkb:O15111	uniprotkb:P50778	intact:EBI-81249|uniprotkb:O14666|uniprotkb:Q13132|uniprotkb:Q5W0I4|uniprotkb:Q92467	intact:EBI-9690256	psi-mi:ikka_human(display_long)|uniprotkb:Transcription factor 16(gene name synonym)|uniprotkb:CHUK(gene name)|psi-mi:CHUK(display_short)|uniprotkb:IKKA(gene name synonym)|uniprotkb:TCF16(gene name synonym)|uniprotkb:I-kappa-B kinase 1(gene name synonym)|uniprotkb:Conserved helix-loop-helix ubiquitous kinase(gene name synonym)|uniprotkb:Nuclear factor NF-kappa-B inhibitor kinase alpha(gene name synonym)	psi-mi:ve7_hpv20(display_long)|uniprotkb:E7(gene name)|psi-mi:E7(display_short)	psi-mi:MI:0007(anti tag coimmunoprecipitation)	Byg et al. (2012)	pubmed:22776252|imex:IM-23026	9606	31547	psi-mi:MI:0915(physical association)	psi-mi:MI:0486(UniProt)	intact:EBI-9690266|imex:IM-23026-2	intact-miscore:0.40
uniprotkb:O15111	uniprotkb:Q6TY35	intact:EBI-81249|uniprotkb:O14666|uniprotkb:Q13132|uniprotkb:Q5W0I4|uniprotkb:Q92467	intact:EBI-9690239	psi-mi:ikka_human(display_long)|uniprotkb:Transcription factor 16(gene name synonym)|uniprotkb:CHUK(gene name)|psi-mi:CHUK(display_short)|uniprotkb:IKKA(gene name synonym)|uniprotkb:TCF16(gene name synonym)|uniprotkb:I-kappa-B kinase 1(gene name synonym)|uniprotkb:Conserved helix-loop-helix ubiquitous kinase(gene name synonym)|uniprotkb:Nuclear factor NF-kappa-B inhibitor kinase alpha(gene name synonym)	psi-mi:q6ty35_9papi(display_long)|uniprotkb:E7(gene name)|psi-mi:E7(display_short)	psi-mi:MI:0007(anti tag coimmunoprecipitation)	Byg et al. (2012)	pubmed:22776252|imex:IM-23026	9606	247268	psi-mi:MI:0915(physical association)	psi-mi:MI:0486(UniProt)	intact:EBI-9690396|imex:IM-23026-9	intact-miscore:0.40
uniprotkb:P20226	uniprotkb:P06422	intact:EBI-355371|uniprotkb:Q16845|uniprotkb:Q9UC02|intact:EBI-1056192|uniprotkb:Q6IBM6|uniprotkb:B4E3B3|uniprotkb:F5H869|intact:EBI-11019728	intact:EBI-7136851|intact:MINT-248448|intact:EBI-15990415	psi-mi:tbp_human(display_long)|uniprotkb:TBP(gene name)|psi-mi:TBP(display_short)|uniprotkb:TF2D(gene name synonym)|uniprotkb:TFIID(gene name synonym)|uniprotkb:GTF2D1(gene name synonym)|uniprotkb:TATA-box factor(gene name synonym)|uniprotkb:TATA-binding factor(gene name synonym)|uniprotkb:TATA sequence-binding protein(gene name synonym)|uniprotkb:Transcription initiation factor TFIID TBP subunit(gene name synonym)	psi-mi:ve2_hpv08(display_long)|uniprotkb:E2(gene name)|psi-mi:E2(display_short)	psi-mi:MI:1203(split luciferase complementation)	Muller et al. (2011)	pubmed:22761572|imex:IM-25807|doi:10.1371/journal.ppat.1002761	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-16048571|psi-mi:MI:0471|imex:IM-25807-291	author score:27.17|intact-miscore:0.37
uniprotkb:P20226	uniprotkb:P06422	uniprotkb:TBP_HUMAN	uniprotkb:VE2_HPV08	uniprotkb:TBP_HUMAN	uniprotkb:VE2_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22761572	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:11343|virhostnet-nrid:10674	virhostnet-miscore:0.32715574
uniprotkb:P21333	uniprotkb:P06428	uniprotkb:FLNA_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:FLNA_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:14578|virhostnet-nrid:13794	virhostnet-miscore:0.32715574
uniprotkb:P28749	uniprotkb:P06430	uniprotkb:RBL1_HUMAN	uniprotkb:VE7_HPV08	uniprotkb:RBL1_HUMAN	uniprotkb:VE7_HPV08	psi-mi:MI:0090(protein complementation assay)	-	pubmed:28786561	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:23081|virhostnet-nrid:13012	virhostnet-miscore:0.41323432
uniprotkb:P28749	uniprotkb:P06430	uniprotkb:RBL1_HUMAN	uniprotkb:VE7_HPV08	uniprotkb:RBL1_HUMAN	uniprotkb:VE7_HPV08	psi-mi:MI:0676(tandem affinity purification)	-	pubmed:22810586	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:13773|virhostnet-nrid:13012	virhostnet-miscore:0.41323432
uniprotkb:P28749	uniprotkb:P06430	intact:EBI-971402|uniprotkb:Q4VXA0|uniprotkb:Q8N5K6|uniprotkb:Q9H1L5|uniprotkb:Q9H1M1|uniprotkb:A8K2W5	intact:EBI-11722553	psi-mi:rbl1_human(display_long)|uniprotkb:RBL1(gene name)|psi-mi:RBL1(display_short)|uniprotkb:pRb1(gene name synonym)|uniprotkb:107 kDa retinoblastoma-associated protein(gene name synonym)	psi-mi:ve7_hpv08(display_long)|uniprotkb:E7(gene name)|psi-mi:E7(display_short)	psi-mi:MI:0676(tandem affinity purification)	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	9606	10579	psi-mi:MI:0914(association)	psi-mi:MI:0471(MINT)	intact:EBI-11722566|psi-mi:MI:0471|imex:IM-25307-581	intact-miscore:0.35
uniprotkb:Q07955	uniprotkb:P06422	uniprotkb:SRSF1_HUMAN	uniprotkb:VE2_HPV08	uniprotkb:SRSF1_HUMAN	uniprotkb:VE2_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22761572	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:11291|virhostnet-nrid:10623	virhostnet-miscore:0.32715574
uniprotkb:Q07955	uniprotkb:P06422	intact:EBI-398920|uniprotkb:Q13809|uniprotkb:B2R6Z7|uniprotkb:D3DTZ3	intact:EBI-7136851|intact:MINT-248448|intact:EBI-15990415	psi-mi:srsf1_human(display_long)|uniprotkb:SFRS1(gene name synonym)|uniprotkb:Splicing factor, arginine/serine-rich 1(gene name synonym)|uniprotkb:SF2(gene name synonym)|uniprotkb:SF2P33(gene name synonym)|uniprotkb:OK/SW-cl.3(orf name)|uniprotkb:SRSF1(gene name)|psi-mi:SRSF1(display_short)|uniprotkb:ASF(gene name synonym)|uniprotkb:pre-mRNA-splicing factor SF2, P33 subunit(gene name synonym)|uniprotkb:Alternative-splicing factor 1(gene name synonym)	psi-mi:ve2_hpv08(display_long)|uniprotkb:E2(gene name)|psi-mi:E2(display_short)	psi-mi:MI:1203(split luciferase complementation)	Muller et al. (2011)	pubmed:22761572|imex:IM-25807|doi:10.1371/journal.ppat.1002761	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-16048463|psi-mi:MI:0471|imex:IM-25807-282	author score:183.54|intact-miscore:0.37
uniprotkb:P28074	uniprotkb:P06428	uniprotkb:PSB5_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:PSB5_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:14432|virhostnet-nrid:13653	virhostnet-miscore:0.32715574
uniprotkb:P33992	uniprotkb:P06428	uniprotkb:MCM5_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:MCM5_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0676(tandem affinity purification)	-	pubmed:22810586	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:4010|virhostnet-nrid:3995	virhostnet-miscore:0.32715574
uniprotkb:P33992	uniprotkb:P06428	intact:EBI-359410|uniprotkb:O60785|uniprotkb:Q14578|uniprotkb:Q9BTJ4|uniprotkb:Q9BWL8	intact:EBI-7463243|intact:MINT-154050	psi-mi:mcm5_human(display_long)|uniprotkb:MCM5(gene name)|psi-mi:MCM5(display_short)|uniprotkb:CDC46(gene name synonym)|uniprotkb:CDC46 homolog(gene name synonym)|uniprotkb:P1-CDC46(gene name synonym)	psi-mi:ve6_hpv08(display_long)|uniprotkb:E6(gene name)|psi-mi:E6(display_short)	psi-mi:MI:0676(tandem affinity purification)	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	9606	10579	psi-mi:MI:0914(association)	psi-mi:MI:0471(MINT)	intact:EBI-11722493|psi-mi:MI:0471|imex:IM-25307-621	intact-miscore:0.35
