Human	Papillomaviruses
Q12959	Papillomaviruses:P27962
O15111	Papillomaviruses:P50778
O15111	Papillomaviruses:Q6TY35
P20226	Papillomaviruses:P06422
P21333	Papillomaviruses:P06428
P28749	Papillomaviruses:P06430
Q07955	Papillomaviruses:P06422
P28074	Papillomaviruses:P06428
P33992	Papillomaviruses:P06428
P02751	Papillomaviruses:P06428
Q15369	Papillomaviruses:P06428
P60709	Papillomaviruses:P06428
Q16236	Papillomaviruses:P06422
P46777	Papillomaviruses:P06428
P02792	Papillomaviruses:P06428
P68104	Papillomaviruses:P06430
P62753	Papillomaviruses:P06428
P62158	Papillomaviruses:P06422
P04406	Papillomaviruses:P06428
Q86VP1	Papillomaviruses:P06422
Q13813	Papillomaviruses:P06422
P11021	Papillomaviruses:P06422
P11021	Papillomaviruses:P06428
P49023	Papillomaviruses:P06428
Q12959	Papillomaviruses:P06428
P56524	Papillomaviruses:P06428
P14625	Papillomaviruses:P06428
P04637	Papillomaviruses:P06422
Q15365	Papillomaviruses:P06422
Q15365	Papillomaviruses:P06428
Q9UM11	Papillomaviruses:P06422
O60885	Papillomaviruses:P06422
P05787	Papillomaviruses:P06428
Q13546	Papillomaviruses:P06428
Q15003	Papillomaviruses:P06428
Q15629	Papillomaviruses:P06428
Q9UNK0	Papillomaviruses:P06430
Q9P0J7	Papillomaviruses:P06430
P48960	Papillomaviruses:P06428
P06400	Papillomaviruses:P06430
P62937	Papillomaviruses:P06428
Q9BXK5	Papillomaviruses:P06422
Q12933	Papillomaviruses:P06430
P22415	Papillomaviruses:P06430
P31946	Papillomaviruses:P06428
Q92793	Papillomaviruses:P06428
Q7Z6Z7	Papillomaviruses:P06422
P42704	Papillomaviruses:P06428
P51572	Papillomaviruses:P06428
Q13263	Papillomaviruses:P06430
O43390	Papillomaviruses:P06428
Q9BYM8	Papillomaviruses:P06428
Q12874	Papillomaviruses:P06428
Q07065	Papillomaviruses:P06428
P61964	Papillomaviruses:P06430
O95251	Papillomaviruses:P06422
P13073	Papillomaviruses:P06428
P07339	Papillomaviruses:P06428
Q5VTE0	Papillomaviruses:P06430
Q5VTE0	Papillomaviruses:P06428
Q14118	Papillomaviruses:P06428
P55010	Papillomaviruses:P06428
P06733	Papillomaviruses:P06428
P06733	Papillomaviruses:P06422
Q09472	Papillomaviruses:P06422
Q09472	Papillomaviruses:P06428
Q14289	Papillomaviruses:P06422
P49327	Papillomaviruses:P06428
P51991	Papillomaviruses:P06428
Q13049	Papillomaviruses:P06430
Q5T4S7	Papillomaviruses:P06430
Q8TB72	Papillomaviruses:P06428
Q15022	Papillomaviruses:P06430
Q9UQ35	Papillomaviruses:P06428
Q8NAP3	Papillomaviruses:P06422
Q9Y2S7	Papillomaviruses:P06422
Q9UJY5	Papillomaviruses:P06422
Q8WWY3	Papillomaviruses:P06428
Q8WWY3	Papillomaviruses:P06422
Q9UMS0	Papillomaviruses:P06428
P04899	Papillomaviruses:P06428
Q13227	Papillomaviruses:P06428
Q13227	Papillomaviruses:P06422
P07355	Papillomaviruses:P06428
P09429	Papillomaviruses:P06428
P05204	Papillomaviruses:P06430
P17096	Papillomaviruses:P06428
P22736	Papillomaviruses:P06422
P61978	Papillomaviruses:P06430
P04792	Papillomaviruses:P06422
P40305	Papillomaviruses:P06428
P05067	Papillomaviruses:P06428
P10914	Papillomaviruses:P06430
O14896	Papillomaviruses:P06428
P84022	Papillomaviruses:P06428
P27816	Papillomaviruses:P06430
P25205	Papillomaviruses:P06428
P33993	Papillomaviruses:P06428
P55081	Papillomaviruses:P06430
P55209	Papillomaviruses:P06422
P06748	Papillomaviruses:P06428
P16615	Papillomaviruses:P06428
O43929	Papillomaviruses:P06428
P06576	Papillomaviruses:P06430
Q9Y3B2	Papillomaviruses:P06430
Q71UM5	Papillomaviruses:P06430
O95071	Papillomaviruses:P06428
Q96RN5	Papillomaviruses:P06428
Q9Y3D0	Papillomaviruses:P06428
Q01813	Papillomaviruses:P06428
Q00325	Papillomaviruses:P06428
Q9NRF9	Papillomaviruses:P06428
O43242	Papillomaviruses:P06428
P47897	Papillomaviruses:P06428
P13489	Papillomaviruses:P06428
P61221	Papillomaviruses:P06428
P39023	Papillomaviruses:P06428
P39023	Papillomaviruses:P06430
Q02878	Papillomaviruses:P06428
P62424	Papillomaviruses:P06428
P27635	Papillomaviruses:P06428
P83731	Papillomaviruses:P06428
P23396	Papillomaviruses:P06428
P46781	Papillomaviruses:P06428
P62280	Papillomaviruses:P06428
P62277	Papillomaviruses:P06428
P42677	Papillomaviruses:P06428
P21673	Papillomaviruses:P06428
Q13309	Papillomaviruses:P06422
Q86XZ4	Papillomaviruses:P06422
P09012	Papillomaviruses:P06428
P63272	Papillomaviruses:P06428
Q07021	Papillomaviruses:P06422
O00463	Papillomaviruses:P06430
P10599	Papillomaviruses:P06428
P22314	Papillomaviruses:P06422
O75865	Papillomaviruses:P06428
Q9BZK7	Papillomaviruses:P06428
P0DP24	Papillomaviruses:P06422
Q14790	Papillomaviruses:P06422
Q92851	Papillomaviruses:P06428
P40227	Papillomaviruses:P06428
O75604	Papillomaviruses:P06428
O14964	Papillomaviruses:P06428
O94776	Papillomaviruses:P06428
P62829	Papillomaviruses:P06428
P13667	Papillomaviruses:P06422
P08962	Papillomaviruses:P06428
O94842	Papillomaviruses:P06430
O94842	Papillomaviruses:P06422
Q9Y4E8	Papillomaviruses:P06428
Q9Y2W1	Papillomaviruses:P06428
P49790	Papillomaviruses:P06428
O14979	Papillomaviruses:P06428
A0A087WUS5	Papillomaviruses:P06430
