symbol	UM-N01	UM-P01	UM-P02	UM-N02	UM-P03	UM-P04	UM-P05	UM-P06	UM-N03	UM-N04	UM-N05	UM-N06	UM-P07	UM-N07	UM-N08	UM-P08	UM-N09	UM-N10	UM-P09	UM-P10	UM-P11	UM-N11	UM-P12	UM-N12	UM-N13	UM-P13	UM-N14	UM-P14	UM-P15	UM-P16	UM-P17	UM-N15	UM-N16	UM-N17	UM-N18	UM-P18
1/2-SBSRNA4	31	23	28	21	34	19	21	14	12	13	29	5	13	12	11	22	28	27	38	4	34	9	19	20	5	23	10	42	12	6	22	30	16	28	8	17
A1BG	92	157	71	31	209	183	17	106	1003	39	107	26	70	60	132	80	132	84	79	8	187	12	239	93	52	218	50	82	82	104	66	51	88	57	42	93
A1BG-AS1	17	58	28	10	50	67	9	22	173	14	11	11	20	17	12	24	27	12	18	3	47	11	48	12	9	21	3	21	10	8	3	11	1	6	11	22
A1CF	5	1	0	0	0	0	0	1	0	3	0	0	1	0	3	0	0	0	0	0	1	0	7	0	0	0	2	1	0	0	0	0	0	1	1	0
A2LD1	70	300	238	61	350	137	110	164	97	160	129	40	296	126	94	107	108	74	117	60	309	186	267	101	98	982	134	291	260	104	86	196	64	98	189	126
A2M	8074	10446	3640	1670	1274	5021	989	2135	4315	3304	3431	857	3901	3975	2813	1353	12255	2982	5730	610	8612	1156	8556	8864	1688	3820	3979	2265	634	2822	2396	9406	1104	946	3931	8300
A2ML1	5220	4161	3778	876	4966	703	4855	8997	451	915	5518	1355	1648	3412	6805	7644	1184	218	146	2219	963	142	1959	662	4688	451	7111	8889	11666	34323	17494	39122	10416	14458	5911	30640
A2MP1	4	1	1	0	0	0	0	7	1	0	2	3	1	0	21	0	4	2	11	0	3	0	1	0	0	2	0	2	0	0	0	4	0	0	0	7
A4GALT	994	1707	2923	5750	1727	1513	1894	2836	1026	2366	3720	892	1669	5480	849	920	336	1775	130	1013	2576	1395	1112	851	880	449	1453	3005	2025	1224	3441	5540	1168	4340	1804	1509
A4GNT	1	1	5	2	1	4	2	0	0	8	11	3	2	8	0	4	0	4	6	0	1	1	0	0	0	0	1	0	0	0	0	3	0	2	0	2
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA1	1	1	5	68	8	13	2	0	3	6	3	4	2	9	0	0	2	15	0	1	3	1	23	0	0	1	0	0	0	0	0	32	2	0	1	2
