Ensemble	H112	H122	H132	H111	H121	H131	H211	H221	H231	H212	H222	H232	H113	H123	H133	H213	H223	H233
ENSG00000000003	908	219	26	749	177	45	944	327	249	1941	318	249	2883	162	4	1181	239	201
ENSG00000000005	0	0	1	0	6	1	0	6	1	0	1	2	0	2	0	0	1	5
ENSG00000000419	1538	382	82	1304	285	143	625	290	249	1224	292	275	4433	270	6	862	235	262
ENSG00000000457	366	173	25	334	123	35	214	90	72	422	105	70	1120	104	5	258	71	63
ENSG00000000460	138	129	22	96	107	59	83	93	58	139	97	67	422	107	1	71	86	48
ENSG00000000938	8	1	3	1	1	1	0	0	0	0	0	0	17	1	0	0	0	3
ENSG00000000971	1164	110	10	949	84	19	2218	547	239	4617	472	288	3658	85	0	2824	371	230
ENSG00000001036	2283	347	39	1918	291	37	1408	454	224	2566	485	254	7037	254	1	1438	345	216
ENSG00000001084	726	184	31	584	119	65	603	571	319	1283	510	385	2221	148	2	792	423	302
ENSG00000001167	380	300	51	285	215	71	448	286	171	834	285	202	1183	219	7	485	211	180
ENSG00000001460	355	141	15	258	102	29	88	62	36	114	62	38	1007	108	1	75	49	29
ENSG00000001461	3715	1321	108	3213	1016	184	1244	557	234	2058	583	229	11586	979	9	1134	429	211
ENSG00000001497	756	318	71	646	264	81	425	312	221	720	332	213	2225	300	4	367	216	189
ENSG00000001561	200	18	0	162	16	3	6	1	2	15	0	0	611	21	0	4	1	2
ENSG00000001617	984	346	50	887	301	89	991	509	251	1642	502	316	3176	292	3	823	324	204
ENSG00000001626	3	3	3	6	0	1	88	23	23	193	28	27	2	1	1	101	14	37
ENSG00000001629	4461	917	159	3725	710	276	1442	653	422	2917	678	475	13473	783	8	1736	545	460
ENSG00000001630	161	74	13	143	82	18	117	76	43	155	40	38	497	47	0	66	37	36
ENSG00000001631	1375	235	48	1169	184	62	607	236	91	1326	203	119	4202	206	7	786	164	78
ENSG00000002016	297	238	48	236	194	103	153	137	137	293	151	163	896	204	7	155	95	125
ENSG00000002079	1	0	3	1	2	2	1	0	1	4	0	1	4	1	0	1	1	1
