"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Alias","ENTREZID","GO","Path","Evidance","PMID","UNIPROT","ENSEMBL","Symbol"
"ZFR2",226.743685376123,7.27033926838796,0.334879660577718,21.710304101018,1.63969256271677e-104,3.0960674969218e-100,NA,"23217",NA,NA,NA,NA,"Q9UPR6","ENSG00000105278","ZFR2"
"LOC375196",82.1197205976937,5.56984935878,0.375254026309233,14.8428770067082,7.73654838700629e-50,7.30407533217264e-46,"LOC375196","375196",NA,NA,NA,"12477932",NA,"ENSG00000269210","LOC375196"
"ABCA17P",136.944691890308,6.45482583653494,0.45295390605456,14.2505136841837,4.44995863032043e-46,2.80080396192368e-42,NA,"650655",NA,NA,NA,NA,NA,"ENSG00000238098","ABCA17P"
"TCP11",110.725108392377,5.96901058258885,0.428840946400081,13.9189380881091,4.86072183532507e-44,2.2945037423652e-40,NA,"6954",NA,NA,NA,NA,NA,"ENSG00000124678","TCP11"
"ZNF541",405.921988523732,6.01142521614851,0.454147235055637,13.2367319497433,5.38411070655623e-40,2.03325556722389e-36,"ZNF541","84215",NA,NA,NA,NA,"Q9H0D2","ENSG00000118156","ZNF541"
"WNK3",126.700621527576,3.79805562642053,0.287661728310606,13.2032010261703,8.40845710546263e-40,2.64614145108909e-36,NA,"65267",NA,NA,NA,NA,"Q9BYP7","ENSG00000196632","WNK3"
"STAG3",996.272380073409,5.26956674904137,0.409996335660673,12.8527166969674,8.30418138953095e-38,2.23999361424462e-34,"STAG3","10734",NA,"04114",NA,NA,NA,"ENSG00000066923","STAG3"
"CCNA1",720.381436917237,-7.4641736095481,0.625854071912119,-11.9263801971336,8.62427312934929e-33,2.03554406535467e-29,NA,"8900",NA,NA,NA,NA,NA,"ENSG00000133101","CCNA1"
"SOX30",94.1301754828809,4.75164114298721,0.403940095616522,11.7632322083177,6.03777885342472e-32,1.24333802574439e-28,"SOX30","11063",NA,NA,NA,NA,NA,"ENSG00000039600","SOX30"
"NEFH",860.858640014406,6.93161599218048,0.589628214426806,11.755909609785,6.58477929109409e-32,1.24333802574439e-28,NA,"4744",NA,"05014",NA,NA,"P12036","ENSG00000100285","NEFH"
"GRIN2C",89.2419510838943,4.0615349533026,0.357947291989748,11.3467402720815,7.69793255933809e-30,1.32138511441293e-26,NA,"2905",NA,NA,NA,NA,NA,"ENSG00000161509","GRIN2C"
