Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
VirusMINT	Human immunodeficiency virus 1	5/489	9.792645602954127e-05	0.0009792645602954128	0	0	13.426997245179065	123.94855655227262	SP1;C1QBP;TUBA4A;CCT4;ACTG1
VirusMINT	Homo sapiens	2/22	0.00021683563043902655	0.0010841781521951	0	0	110.88888888888889	935.4998014387868	BAG2;MYC
VirusMINT	Human herpesvirus 3	1/1	0.0009999772468562472	0.0033332574895208	0	0	19980.0	138017.40508704726	SP1
VirusMINT	Human herpesvirus 1 (strain 17)	2/56	0.0014164270510532	0.0035410676276331	0	0	41.0	268.9443273175631	PCNA;EMD
VirusMINT	Epstein-Barr virus (strain B95-8)	1/21	0.0208014680109953	0.0416029360219906	0	0	52.526315789473685	203.4203291515269	C1QBP
VirusMINT	Simian virus 40	1/37	0.0363736593292806	0.0466738360922828	0	0	29.157894736842103	96.62665093408292	SP1
VirusMINT	Human papillomavirus type 18	1/37	0.0363736593292806	0.0466738360922828	0	0	29.157894736842103	96.62665093408292	MYC
VirusMINT	Human papillomavirus type 11	1/38	0.0373390688738262	0.0466738360922828	0	0	28.36842105263158	93.26728562261796	MYC
VirusMINT	Human papillomavirus type 16	1/92	0.0881281800641533	0.0979202000712815	0	0	11.50318102949682	27.94080032839929	MYC
VirusMINT	Epstein-Barr virus (strain GD1)	1/133	0.1249790349715015	0.1249790349715015	0	0	7.913875598086125	16.457769102687624	BAG2
