Human	Influenza
P17066	Influenza:Q01639
P05161	Influenza:P03502
Q99873	Influenza:P03493
O95841	Influenza:P03493
P60866	Influenza:P03493
Q15906	Influenza:P03493
Q9BRH9	Influenza:P03493
Q9BXD5	Influenza:P03493
Q9Y264	Influenza:P03493
Q12959	Influenza:P30911
P45984	Influenza:Q0A2H0
P01857	Influenza:Q0A2H1
Q12906	Influenza:Q0A2H0
P63208	Influenza:Q0A2H1
O00459	Influenza:Q0A2H0
O15226	Influenza:Q0A2H0
O95639	Influenza:Q0A2H0
P55265	Influenza:Q0A2H0
P06733	Influenza:Q0A2H1
P06733	Influenza:Q0A2H0
Q9NUL3	Influenza:Q0A2H0
Q13227	Influenza:Q0A2H1
P08865	Influenza:Q0A2H1
P21912	Influenza:Q0A2H1
P21912	Influenza:Q0A2H0
P18583	Influenza:Q0A2H0
O95793	Influenza:Q0A2H0
Q13155	Influenza:Q0A2H1
P35658	Influenza:Q0A2H1
P63167	Influenza:Q0A2H1
Q96HA1	Influenza:Q0A2H1
O14907	Influenza:Q0A2H0
O14908	Influenza:Q0A2H0
O43303	Influenza:Q0A2H1
O75348	Influenza:Q0A2H0
O75348	Influenza:Q0A2H1
O75569	Influenza:Q0A2H0
O95219	Influenza:Q0A2H1
O95229	Influenza:Q0A2H1
P07942	Influenza:Q0A2H1
P15822	Influenza:Q0A2H1
P15822	Influenza:Q0A2H0
P19429	Influenza:Q0A2H0
P19429	Influenza:Q0A2H1
P27540	Influenza:Q0A2H1
P27986	Influenza:Q0A2H0
P46108	Influenza:Q0A2H0
P49589	Influenza:Q0A2H0
P62750	Influenza:Q0A2H0
P63010	Influenza:Q0A2H1
P78352	Influenza:Q0A2H0
Q03188	Influenza:Q0A2H0
Q07817	Influenza:Q0A2H0
Q08AM6	Influenza:Q0A2H1
Q13105	Influenza:Q0A2H0
Q13561	Influenza:Q0A2H1
Q14160	Influenza:Q0A2H0
Q15633	Influenza:Q0A2H0
Q15942	Influenza:Q0A2H0
Q15942	Influenza:Q0A2H1
Q49A26	Influenza:Q0A2H0
Q49A26	Influenza:Q0A2H1
Q4J6C6	Influenza:Q0A2H1
Q5SXM2	Influenza:Q0A2H1
Q5SXM2	Influenza:Q0A2H0
Q5TA45	Influenza:Q0A2H0
Q5W0U4	Influenza:Q0A2H1
Q6PI77	Influenza:Q0A2H1
Q8N4C6	Influenza:Q0A2H1
Q8NC69	Influenza:Q0A2H0
Q8NC69	Influenza:Q0A2H1
Q8TD31	Influenza:Q0A2H1
Q96MW5	Influenza:Q0A2H1
Q96SI9	Influenza:Q0A2H0
Q9BSY4	Influenza:Q0A2H1
Q9C099	Influenza:Q0A2H0
Q9H1D9	Influenza:Q0A2H0
Q9H1D9	Influenza:Q0A2H1
Q9H1Y0	Influenza:Q0A2H0
Q9H257	Influenza:Q0A2H1
Q9H3R5	Influenza:Q0A2H1
Q9NS73	Influenza:Q0A2H1
Q9NX74	Influenza:Q0A2H0
Q9NY93	Influenza:Q0A2H0
Q9NYF8	Influenza:Q0A2H0
Q9P2Y5	Influenza:Q0A2H1
Q9UBW7	Influenza:Q0A2H1
Q9UBW7	Influenza:Q0A2H0
Q9UIA0	Influenza:Q0A2H1
Q9Y2V7	Influenza:Q0A2H1
Q9Y692	Influenza:Q0A2H1
Q9Y692	Influenza:Q0A2H0
Q9Y6N6	Influenza:Q0A2H1
Q9Y6X2	Influenza:Q0A2H1
Q9Y6X2	Influenza:Q0A2H0
Q07812	Influenza:P03495
P45984	Influenza:P03495
O60684	Influenza:P06827
P63279	Influenza:P03495
O43521	Influenza:P03495
P52294	Influenza:P06827
P05161	Influenza:P03495
P62805	Influenza:P03495
Q08379	Influenza:P03495
Q15654	Influenza:Q1K9E3
Q13651	Influenza:P03495
Q9UII4	Influenza:P03495
O95639-1	Influenza:P03495
O95639	Influenza:P03495
Q9P1Z2	Influenza:Q67296
Q7L7L0	Influenza:P03495
Q12933	Influenza:Q67296
Q96FJ2	Influenza:P69258
P22492	Influenza:P03495
P20671	Influenza:P03495
P58876	Influenza:P03495
Q02539	Influenza:P03495
O00505	Influenza:P06827
P40692	Influenza:P06827
Q5QNW6	Influenza:P03495
Q16656	Influenza:Q1K9E3
Q9BTM1	Influenza:P03495
Q92934	Influenza:P03495
P04049	Influenza:P03495
P14373	Influenza:P03495
Q9HA38	Influenza:P03495
Q8IUQ4	Influenza:Q1K9E3
O95793	Influenza:P03495
Q13077	Influenza:Q67296
Q13155	Influenza:P69258
Q99878	Influenza:P03495
Q93077	Influenza:P03495
P04908	Influenza:P03495
Q6FI13	Influenza:P03495
Q16777	Influenza:P03495
P62807	Influenza:P03495
Q99880	Influenza:P03495
Q99877	Influenza:P03495
Q99879	Influenza:P03495
Q93079	Influenza:P03495
Q96KK5	Influenza:P03495
O60814	Influenza:P03495
P0C0S8	Influenza:P03495
Q9Y5V3	Influenza:P06827
intact:EBI-2548851	Influenza:P0DOF4
O14503	Influenza:P03495
O14503	Influenza:Q67296
O14641	Influenza:P03495
O14641	Influenza:Q67296
O14641	Influenza:P0DOF4
O43186	Influenza:P0DOF5
O43889	Influenza:P0DOF5
O60869	Influenza:P03495
O75410	Influenza:Q67296
O75525	Influenza:P03495
O75569	Influenza:P03495
P02511	Influenza:Q67296
P0C7W6	Influenza:Q67296
P24278	Influenza:P0DOF5
P24278	Influenza:P06827
P29353	Influenza:P03495
P35568	Influenza:P03495
P43360	Influenza:Q67296
P43364	Influenza:Q67296
P43365	Influenza:P03495
P50222	Influenza:P0DOF4
P51116	Influenza:Q1K9E3
P55916	Influenza:P03495
P55957	Influenza:P03495
P57053	Influenza:P03495
Q06547	Influenza:Q1K9E3
Q12800	Influenza:Q1K9E3
Q12800	Influenza:P69258
Q15633	Influenza:P03495
Q6NT76	Influenza:P03495
Q6P1W5	Influenza:Q67296
Q86U42	Influenza:P03495
Q8N448	Influenza:Q67296
Q8N448	Influenza:Q1K9E2
Q8N448	Influenza:P03495
Q8N448	Influenza:P0DOF5
Q8N448	Influenza:P0DOF4
Q8N5I3	Influenza:Q67296
Q8N5R6	Influenza:P03495
Q8N6Y0	Influenza:Q67296
Q8N6Y0	Influenza:P06827
Q8N9N5	Influenza:Q1K9E3
Q8ND90	Influenza:Q67296
Q8NF50	Influenza:P03495
Q8NF50	Influenza:Q67296
Q8NHQ1	Influenza:Q67296
Q8TD10	Influenza:Q67296
Q92844	Influenza:P03495
Q92997	Influenza:P0DOF4
Q92997	Influenza:Q67296
Q93062	Influenza:Q1K9E3
Q93062	Influenza:Q67296
Q96B26	Influenza:Q67296
Q96F86	Influenza:P03495
Q96IK5	Influenza:P06827
Q96MC5	Influenza:P06827
Q99081	Influenza:Q67296
Q99081	Influenza:Q1K9E3
Q9BRK4	Influenza:P03495
Q9H190	Influenza:P03495
Q9H190	Influenza:P0DOF4
Q9H2G9	Influenza:Q67296
Q9H898	Influenza:P03495
Q9UBF8	Influenza:P03495
Q9UJ41	Influenza:Q67296
Q9UJC3	Influenza:Q67296
Q9UL40	Influenza:P03495
Q9Y2D8	Influenza:P03495
Q9Y2T1	Influenza:P03495
Q9Y6X0	Influenza:P0DOF5
P49411	Influenza:C8XKY2
P06396	Influenza:Q6DP93
P45984	Influenza:Q6DP93
P01857	Influenza:Q6DP94
Q12906	Influenza:Q6DP93
P63208	Influenza:Q6DP94
O00459	Influenza:Q6DP93
O15226	Influenza:Q6DP93
O95639	Influenza:Q6DP93
P55265	Influenza:Q6DP93
P06733	Influenza:Q6DP94
Q9NUL3	Influenza:Q6DP93
Q13227	Influenza:Q6DP93
Q13227	Influenza:Q6DP94
P08865	Influenza:Q6DP94
P21912	Influenza:Q6DP94
P21912	Influenza:Q6DP93
P18583	Influenza:Q6DP93
O95793	Influenza:Q6DP93
Q13155	Influenza:Q6DP94
P35658	Influenza:Q6DP94
P63167	Influenza:Q6DP94
Q96HA1	Influenza:Q6DP94
O14530	Influenza:Q6DP94
O14907	Influenza:Q6DP93
O14908	Influenza:Q6DP93
O43303	Influenza:Q6DP94
O75348	Influenza:Q6DP94
O75348	Influenza:Q6DP93
O75569	Influenza:Q6DP93
O95219	Influenza:Q6DP94
O95229	Influenza:Q6DP94
P07942	Influenza:Q6DP94
P15822	Influenza:Q6DP93
P15822	Influenza:Q6DP94
P19429	Influenza:Q6DP94
P27540	Influenza:Q6DP94
P27986	Influenza:Q6DP93
P63010	Influenza:Q6DP94
P78352	Influenza:Q6DP93
Q03188	Influenza:Q6DP93
Q13105	Influenza:Q6DP93
Q13561	Influenza:Q6DP94
Q14160	Influenza:Q6DP93
Q15633	Influenza:Q6DP93
Q15942	Influenza:Q6DP94
Q49A26	Influenza:Q6DP93
Q49A26	Influenza:Q6DP94
Q4J6C6	Influenza:Q6DP94
Q5SXM2	Influenza:Q6DP94
Q5W0U4	Influenza:Q6DP94
Q6PI77	Influenza:Q6DP94
Q8N4C6	Influenza:Q6DP94
Q8TD31	Influenza:Q6DP94
Q96MW5	Influenza:Q6DP94
Q96RT1	Influenza:Q6DP93
Q96SI9	Influenza:Q6DP93
Q99759	Influenza:Q6DP93
Q9BSY4	Influenza:Q6DP94
Q9C099	Influenza:Q6DP93
Q9H1D9	Influenza:Q6DP94
Q9H3R5	Influenza:Q6DP94
Q9NX74	Influenza:Q6DP93
Q9NY93	Influenza:Q6DP93
Q9UBW7	Influenza:Q6DP93
Q9UBW7	Influenza:Q6DP94
Q9Y244	Influenza:Q6DP94
Q9Y692	Influenza:Q6DP94
Q9Y6N6	Influenza:Q6DP94
Q9Y6X2	Influenza:Q6DP93
Q9Y6X2	Influenza:Q6DP94
O00459	Influenza:Q6PNE5
O43390	Influenza:Q6PNE5
O60506	Influenza:Q6PNE5
Q08211	Influenza:Q6PNE5
O14654	Influenza:Q6PNE5
P06396	Influenza:Q67020
O00459	Influenza:Q194T2
Q03001	Influenza:Q67020
P02795	Influenza:Q67020
Q15365	Influenza:Q194T2
Q15365	Influenza:Q9DLK6
Q15365	Influenza:Q67020
Q92499	Influenza:Q194T2
Q9HCE1	Influenza:Q194T2
O95639	Influenza:Q194T2
Q07666	Influenza:Q9DLK6
P33240	Influenza:Q194T2
Q12996	Influenza:Q194T2
P29692	Influenza:Q9DLK6
P29692	Influenza:Q67020
Q8NCA5	Influenza:Q194T2
P55084	Influenza:Q194T2
O60812	Influenza:Q194T2
